2017-03-13 11:03:13 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
2017-03-13 11:03:30 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
2017-03-13 11:03:23 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
2017-03-13 11:03:58 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
2017-03-13 11:03:06 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
2017-03-13 11:03:31 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
2017-03-13 11:03:55 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
2017-03-13 11:03:11 | Уровень error | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Db.php | Строка 71 | Ошибка в запросе SELECT * FROM news ORDER BY id DESCSQLSTATE[42S02]: Base table or view not found: 1146 Table 'sevenWind.news' doesn't exist
2017-03-13 15:03:43 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Controller.php | Строка 27 | Метод actionSecondTask в контроллере App\Controllers\Index не найден
2017-03-13 15:03:48 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\2 не найден
2017-03-13 15:03:49 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\2 не найден
2017-03-13 15:03:22 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 20 | Контроллер \App\Controllers\2 не найден
2017-03-13 15:03:14 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Controller.php | Строка 27 | Метод actionAssets в контроллере App\Controllers\Index не найден
2017-03-13 15:03:21 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Controller.php | Строка 27 | Метод actionAssets в контроллере App\Controllers\Index не найден
2017-03-13 15:03:24 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Controller.php | Строка 27 | Метод actionAssets в контроллере App\Controllers\Index не найден
